queryNo|tables|conditions|subqueries|joins|paths|functions|total columns|used columns|query
1|1|2|0|0|-1|0|29|2|select name from `tabAccount` where lft <= 182 and rgt >= 193
2|1|3|0|0|-1|0|46|3|select * from `tabDocField` where `parenttype` = 'DocType' and `parent` = 'Grading Scale' and `parentfield` = 'fields' order by idx asc
3|1|1|0|0|-1|0|29|1|select `account_currency` from `tabAccount` where `name` = 'Exchange Gain/Loss - 7cQ' order by modified desc
4|1|1|0|0|-1|1|41|1|select sum(purchase_rate) from `tabSerial No` where name in ('ABCD00001')
5|1|4|0|0|-1|0|35|4|select name from `tabStock Entry Detail` where parent='STE-00038' and parenttype='Stock Entry' and parentfield='items' and name not in ('7f0d4e519a')
6|1|1|0|0|-1|0|107|1|select * from `tabSales Invoice` where `name` = '_T-Sales Invoice-00001' order by modified desc
7|1|1|0|0|-1|0|21|1|select * from `tabProperty Setter` where doc_type='Print Heading'
8|1|2|0|0|-1|0|29|2|select name from `tabAccount` where lft <= 182 and rgt >= 197
9|1|2|0|0|-1|0|29|2|select * from `tabAccount` where lft=604 or rgt=605
10|1|1|0|0|-1|0|36|1|select `name` from `tabGL Entry` where `account` = 'Securities and Deposits - _TC' order by modified desc
11|1|1|0|0|-1|0|29|1|select `name` from `tabAccount` where `name` = '_Test Depreciations - _TC1' order by modified desc
12|1|1|0|0|-1|0|57|1|select `module` from `tabDocType` where `name` = 'Purchase Taxes and Charges Template' order by modified desc
13|1|4|0|0|-1|0|12|4|select name from `tabBudget Account` where parent='_Test Project/_Test Fiscal Year 2013/001' and parenttype='Budget' and parentfield='accounts' and name not in ('44650bc157')
14|1|1|0|0|-1|0|21|1|select * from `tabProperty Setter` where doc_type='Language'
15|1|3|0|0|-1|0|28|3|select `name` from `tabDesktop Icon` where `owner` = 'test@example.com' and `module_name` = 'Fees' and `standard` = 0 order by modified desc
17|1|1|0|0|-1|0|21|1|select `symbol` from `tabCurrency` where `name` = 'USD' order by modified desc
18|1|2|0|0|-1|0|29|2|select name from `tabAccount` where lft <= 182 and rgt >= 183
19|1|3|0|0|-1|0|25|3|select * from `tabPacked Item` where `parenttype` = 'Delivery Note' and `parent` = 'DN-00012' and `parentfield` = 'packed_items' order by idx asc
20|1|3|0|0|-1|0|15|3|select * from `tabSales Invoice Payment` where `parenttype` = 'Sales Invoice' and `parent` = 'SINV-00015' and `parentfield` = 'payments' order by idx asc
21|1|1|0|0|-1|0|48|1|select * from `tabStock Entry` where `name` = 'STE-00029' order by modified desc
22|1|1|0|0|-1|0|2|1|select `current` from `tabSeries` where name='_T-Journal Entry-' for update
23|1|3|0|0|-1|0|12|3|select `account` from `tabParty Account` where `parenttype` = 'Customer' and `company` = '_Test Company' and `parent` = '_Test Customer USD' order by modified desc
24|1|2|0|0|-1|0|36|2|select warehouse, stock_value_difference, voucher_detail_no, item_code, posting_date, posting_time, actual_qty, qty_after_transaction from `tabStock Ledger Entry` where voucher_type='Delivery Note' and voucher_no='DN-00005'
25|1|2|0|0|-1|0|28|2|select `name` from `tabBin` where `warehouse` = '_Test Warehouse 1 - _TC' and `item_code` = '_Test Item' order by modified desc
26|1|2|0|0|-1|0|29|2|select name from `tabAccount` where lft <= 182 and rgt >= 185
27|1|1|0|0|-1|0|21|1|select * from `tabProperty Setter` where doc_type='Website Slideshow'
28|1|2|0|0|-1|0|29|2|select * from `tabAccount` where lft=796 or rgt=797
29|1|3|0|0|-1|0|46|3|select * from `tabDocField` where `parenttype` = 'DocType' and `parent` = 'Student Guardian' and `parentfield` = 'fields' order by idx asc
30|1|4|0|0|-1|4|36|5|select *, timestamp(posting_date, posting_time) as "timestamp" from `tabStock Ledger Entry` where item_code = '_Test Item' and warehouse = '_Test Warehouse - _TC' and ifnull(is_cancelled, 'No')='No' and timestamp(posting_date, posting_time) < timestamp('2017-02-09', '12:25:57.721933') order by timestamp(posting_date, posting_time) desc, name desc limit 1
31|1|1|0|0|-1|0|75|1|select `variant_of` from `tabItem` where `name` = 'Test Item for Merging 1' order by modified desc
32|1|1|0|0|-1|0|36|1|select `name` from `tabGL Entry` where `account` = 'Postal Expenses - _TC1' order by modified desc
33|1|2|0|0|-1|0|29|2|select * from `tabAccount` where lft=421 or rgt=422
34|1|3|0|0|-1|0|28|3|select name from `tabJournal Entry Account` where reference_type = 'Purchase Order' and reference_name = 'PO-00014' and debit=400
35|1|1|0|0|-1|0|29|1|select * from `tabAccount` where `name` = 'Entertainment Expenses - 7cQ' order by modified desc
36|1|1|0|0|-1|0|23|1|select `name` from `tabSales Person` where `employee` = '_T-Employee-0003' order by modified desc
37|1|1|0|0|-1|0|57|1|select * from `tabDocType` where `name` = 'Quality Inspection' order by modified desc
38|1|2|0|0|-1|0|3|2|select field, value from tabSingles where field in ('tolerance') and doctype='Stock Settings'
39|1|2|0|0|-1|0|29|2|select * from `tabAccount` where lft=343 or rgt=344
40|1|1|0|0|-1|0|29|1|select `name` from `tabAccount` where `name` = '_Test Account Discount - _TC1' order by modified desc
41|1|1|0|0|-1|0|29|1|select `name` from `tabAccount` where `name` = 'Write Off - _TC1' order by modified desc
42|1|3|0|0|-1|0|12|3|select * from `tabItem Customer Detail` where `parenttype` = 'Item' and `parent` = '_Test PPT Item Raw B' and `parentfield` = 'customer_items' order by idx asc
43|1|3|0|0|-1|0|14|3|select * from `tabSales Invoice Timesheet` where `parenttype` = 'Sales Invoice' and `parent` = 'SINV-00004' and `parentfield` = 'timesheets' order by idx asc
44|1|1|0|0|-1|0|36|1|select `name` from `tabGL Entry` where `account` = 'Write Off - _TC' order by modified desc
45|1|2|0|0|-1|0|36|2|select `name` from `tabStock Ledger Entry` where `voucher_no` = 'SR/00002' and `voucher_type` = 'Stock Reconciliation' order by modified desc
46|1|3|0|0|-1|0|35|3|select * from `tabStock Entry Detail` where `parenttype` = 'Stock Entry' and `parent` = 'STE-00036' and `parentfield` = 'items' order by idx asc
47|1|5|0|0|-1|4|36|6|select *, timestamp(posting_date, posting_time) as "timestamp" from `tabStock Ledger Entry` where item_code = '_Test Item' and warehouse = '_Test Warehouse - _TC' and ifnull(is_cancelled, 'No')='No' and timestamp(posting_date, posting_time) > timestamp('2017-02-09', '12:25:06.326889') and name!='SLE/00000041' order by timestamp(posting_date, posting_time) asc, name asc for update
48|1|2|0|0|-1|0|36|2|select * from `tabGL Entry` where posting_date >= '2017-02-09' and voucher_no in ('SR/00006')
49|1|1|0|0|-1|0|45|1|select * from `tabCommunication` where `name` = 'a59d714877' order by modified desc
50|1|2|0|0|-1|0|29|2|select * from `tabAccount` where lft=265 or rgt=266
51|1|1|0|0|-1|0|86|1|select modified, docstatus from `tabPurchase Order` where name = 'PO-00008' for update
52|1|1|0|0|-1|0|45|1|select * from `tabCommunication` where `name` = 'a33f540695' order by modified desc
53|1|3|0|0|-1|0|24|3|select * from `tabSales Taxes and Charges` where `parenttype` = 'Quotation' and `parent` = 'QTN-00005' and `parentfield` = 'taxes' order by idx asc
54|1|1|0|0|-1|0|75|1|select `name` from `tabItem` where `name` = '_Test Item for Drop Shipping' order by modified desc
55|1|1|0|0|-1|0|57|1|select `module` from `tabDocType` where `name` = 'Activity Type' order by modified desc
56|1|3|0|0|-1|0|28|3|select * from `tabMaterial Request Item` where `parenttype` = 'Material Request' and `parent` = '_T-Material Request-00004' and `parentfield` = 'items' order by idx asc
57|1|3|0|0|-1|0|30|3|select * from `tabDocPerm` where `parenttype` = 'DocType' and `parent` = 'Mode of Payment Account' and `parentfield` = 'permissions' order by idx asc
58|1|4|0|0|-1|4|36|5|select *, timestamp(posting_date, posting_time) as "timestamp" from `tabStock Ledger Entry` where item_code = '_Test Variant Item-S' and warehouse = '_Test Warehouse - _TC' and ifnull(is_cancelled, 'No')='No' and timestamp(posting_date, posting_time) <= timestamp('2017-02-09', '12:23:24.513165') order by timestamp(posting_date, posting_time) desc, name desc limit 1
59|1|3|0|0|-1|2|36|4|select distinct sle.voucher_type, sle.voucher_no from `tabStock Ledger Entry` sle where timestamp(sle.posting_date, sle.posting_time) >= timestamp('2012-12-25', '03:00') and item_code in ('_Test Item') and warehouse in ('_Test Warehouse - _TC') order by timestamp(sle.posting_date, sle.posting_time) asc, name asc
60|1|4|0|0|-1|1|36|4|select account_currency, sum(credit_in_account_currency) as amount from `tabGL Entry` where against_voucher_type = 'Sales Order' and against_voucher = 'SO-00032' and party='_Test Customer' and docstatus = 1
61|1|1|0|0|-1|0|57|1|select `issingle` from `tabDocType` where `name` = 'Serial No' order by modified desc
62|1|1|0|0|-1|0|75|1|select `is_stock_item` from `tabItem` where `name` = '_Test Item Home Desktop 200' order by modified desc
63|1|1|0|0|-1|0|57|1|select * from `tabDocType` where `name` = 'Social Login Keys' order by modified desc
64|1|1|0|0|-1|0|29|1|select * from `tabAccount` where `name` = 'Direct Income - _TC2' order by modified desc
65|1|1|0|0|-1|0|21|1|select modified, docstatus from `tabDocShare` where name = '44c9ba0043' for update
66|1|1|0|0|-1|0|33|1|select * from `tabCustom DocPerm` where `tabCustom DocPerm`.parent = 'Designation' order by `tabCustom DocPerm`.`modified` ASC
67|1|3|0|0|-1|2|36|4|select distinct sle.voucher_type, sle.voucher_no from `tabStock Ledger Entry` sle where timestamp(sle.posting_date, sle.posting_time) >= timestamp('2017-02-09', '12:24:25.390870') and item_code in ('Test Item for Merging 1') and warehouse in ('_Test Warehouse - _TC') order by timestamp(sle.posting_date, sle.posting_time) asc, name asc
68|1|1|0|0|-1|0|29|1|select `account_currency` from `tabAccount` where `name` = 'Direct Income - CFEC' order by modified desc
69|1|1|0|0|-1|0|29|1|select `name` from `tabAccount` where `name` = 'Temporary Opening - WP' order by modified desc
70|1|1|0|0|-1|0|29|1|select * from `tabAccount` where `name` = 'Commission on Sales - _TC1' order by modified desc
71|1|1|0|0|-1|0|98|1|select modified, docstatus from `tabPurchase Invoice` where name = 'PINV-00001' for update
73|1|3|0|0|-1|0|12|3|select `account` from `tabParty Account` where `parenttype` = 'Customer' and `company` = '_Test Company' and `parent` = '_Test Customer' order by modified desc
74|1|1|0|0|-1|0|29|1|select * from `tabAccount` where `name` = 'Miscellaneous Expenses - 7cQ' order by modified desc
75|1|1|0|0|-1|0|48|1|select * from `tabStock Entry` where `name` = 'STE-00045' order by modified desc
76|1|1|0|0|-1|0|75|1|select name, item_name, docstatus, description, image, is_sub_contracted_item, stock_uom, default_bom, last_purchase_rate from `tabItem` where name='_Test PPT Item Raw D'
77|1|1|0|0|-1|0|57|1|select * from `tabDocType` where `name` = 'Leave Block List Allow' order by modified desc
78|1|1|0|0|-1|0|57|1|select `module` from `tabDocType` where `name` = 'Shopping Cart Settings' order by modified desc
79|1|2|0|0|-1|0|27|2|select name from `tabItem Group` where lft<=12 and rgt>=13
80|1|2|0|0|-1|0|46|2|select parent from tabDocField where fieldtype='Table' and options='Purchase Receipt Item'
81|1|1|0|0|-1|0|90|1|select `name` from `tabSales Order` where `name` = '_T-Sales Order-00001' order by modified desc
82|1|1|0|0|-1|0|57|1|select `module`, `custom` from `tabDocType` where `name` = 'Print Format' order by modified desc
83|1|2|0|0|-1|0|36|2|select item_code, warehouse, actual_qty from `tabStock Ledger Entry` where voucher_type = 'Stock Entry' and voucher_no = 'STE-00015' order by item_code, warehouse, actual_qty
84|1|1|0|0|-1|0|75|1|select name, item_name, docstatus, description, image, is_sub_contracted_item, stock_uom, default_bom, last_purchase_rate from `tabItem` where name='_Test PPT Item Raw B'
85|2|3|0|1|-1|1|57|3|select bom_item.item_code, bom_item.item_name, bom_item.description, bom_item.stock_uom, bom_item.qty, bom_item.rate, bom_item.qty / ifnull(bom.quantity, 1) as qty_consumed_per_unit from `tabBOM Explosion Item` bom_item, tabBOM bom where bom_item.parent = bom.name and bom.name = 'BOM-_Test Item Home Desktop Manufactured-001' and bom.docstatus = 1
86|1|2|0|0|-1|0|27|2|select name, event, method from `tabEmail Alert` where `tabEmail Alert`.document_type = 'Salary Structure' and `tabEmail Alert`.enabled = 1.0 order by `tabEmail Alert`.`modified` DESC
87|2|4|1|0|-1|0|78|6|select ps.doc_type as parent, ps.field_name as fieldname, (select issingle from tabDocType dt where dt.name = ps.doc_type) as issingle from `tabProperty Setter` ps where ps.property_type='options' and ps.field_name is not null and ps.value='Sales Invoice'
88|1|1|0|0|-1|0|29|1|select `balance_must_be` from `tabAccount` where `name` = '_Test Receivable USD - _TC' order by modified desc
89|1|3|0|0|-1|0|18|3|select * from `tabBOM Operation` where `parenttype` = 'BOM' and `parent` = 'BOM-_Test FG Item 2-001' and `parentfield` = 'operations' order by idx asc
90|1|1|0|0|-1|0|21|1|select * from `tabProperty Setter` where doc_type='Email Digest'
91|1|3|0|0|-1|0|30|3|select * from `tabDocPerm` where `parenttype` = 'DocType' and `parent` = 'Purchase Invoice' and `parentfield` = 'permissions' order by idx asc
92|1|1|0|0|-1|0|21|1|select distinct `share_doctype`, parenttype from `tabDocShare` where `share_doctype`='Role'
93|1|1|0|0|-1|0|75|1|select name, item_name, docstatus, description, image, is_sub_contracted_item, stock_uom, default_bom, last_purchase_rate from `tabItem` where name='_Test PPT Item Raw C'
