queryNo|tables|conditions|subqueries|joins|paths|functions|total columns|used columns|query
1|1|1|0|0|3|0|31|1|select name, is_group from `tabWarehouse` where `tabWarehouse`.company = '_Test Company' order by `tabWarehouse`.`modified` desc
2|1|1|0|0|2|0|29|1|select `supplier_name` from `tabSupplier` where `name` = '_Test Supplier' order by modified desc
3|1|2|0|0|6|0|48|2|select name from `tabStock Entry` where production_order = 'PRO-00003' and docstatus = 1
4|1|1|0|0|2|0|28|1|select `name` from `tabAuto Email Report` where `name` = 'Permitted Documents For User' order by modified desc
5|1|1|0|0|2|0|75|1|select `stock_uom` from `tabItem` where `name` = '_Test Item Home Desktop 200' order by modified desc
6|1|1|0|0|2|0|18|1|select `program_abbreviation` from `tabProgram` where `name` = '_Test Program' order by modified desc
7|1|0|0|0|1|2|34|0|select max(char_length(`event_type`)) from `tabEvent`
8|1|1|0|0|2|0|34|1|select `name` from `tabWebsite Theme` where `name` = 'Standard' order by modified desc
9|1|11|0|0|24|0|31|5|select name, from_time, to_time from `tabAssessment Plan` where `student_group`='TC-TP-2014-2015-2014-2015 (_Test Academic Term)' and schedule_date = '2017-02-09' and ( (from_time > '3:00:00' and from_time < '4:00:00') or (to_time > '3:00:00' and to_time < '4:00:00') or ('3:00:00' > from_time and '3:00:00' < to_time) or ('3:00:00' = from_time and '4:00:00' = to_time)) and name!='SH00023'
10|1|3|0|0|7|0|11|3|select * from `tabEvent Role` where `parenttype` = 'Event' and `parent` = 'EV00013' and `parentfield` = 'roles' order by idx asc
11|1|2|0|0|5|0|17|2|select `name` from `tabAddress Template` where `is_default` = 1 and `name` != 'United States' order by modified desc
12|1|1|0|0|3|0|37|1|select `name`, `parent`, `parenttype`, `docstatus` from `tabAsset` where `amended_from` = 'Macbook Pro 1' order by modified desc
13|1|1|0|0|2|0|29|1|select `account_type`, `root_type`, `account_currency`, `company` from `tabAccount` where `name` = '_Test Receivable USD - _TC' order by modified desc
14|1|2|0|0|5|0|46|2|select parent from tabDocField where fieldtype='Table' and options='Customer'
15|1|1|0|0|2|0|16|1|select * from `tabMode of Payment` where `name` = 'Cash' order by modified desc
16|1|0|0|0|0|0|15|0|select distinct invoice_type from `tabPayment Reconciliation Invoice`
17|1|1|0|0|2|0|18|1|select `route` from `tabBlog Category` where `name` = '_Test Blog Category' order by modified desc
18|1|4|0|0|8|0|23|4|select name from `tabBOM Item` where parent='BOM-_Test PPT Item Master-001' and parenttype='BOM' and parentfield='items' and name not in ('499bf31b7c','a33c2aae0c','48fb7b5443','7faa8df7b2')
19|1|1|0|0|2|0|27|1|select `docstatus` from `tabMaterial Request` where `name` = '_T-Material Request-00013' order by modified desc
20|2|3|0|1|9|0|153|4|select t1.name from `tabPurchase Invoice` t1,`tabPurchase Invoice Item` t2 where t1.name = t2.parent and t2.purchase_receipt = 'PREC-00016' and t1.docstatus = 1
21|1|1|0|0|2|0|55|1|select `first_name`, `last_name` from `tabUser` where `name` = 'Bimonthly_test_employee@salary.com' order by modified desc
22|1|1|0|0|3|0|46|1|SELECT * FROM tabDocField WHERE parent = 'ToDo'
23|1|2|0|0|5|0|11|2|select `name` from `tabUserRole` where `role` = 'Blogger' and `parent` = 'test_import_userrole@example.com' order by modified desc
24|1|1|0|0|2|0|21|1|select `smallest_currency_fraction_value` from `tabCurrency` where `name` = 'USD' order by modified desc
25|1|1|0|0|2|0|44|1|select * from `tabSalary Slip` where `name` = 'Sal Slip/EMP-0003/00001' order by modified desc
26|1|2|0|0|5|0|40|2|select * from `tabPOS Profile` where user = 'Administrator' and company = '_Test Company'
27|1|1|0|0|2|0|52|1|select modified, docstatus from `tabCompany` where name = 'COA from Existing Company' for update
28|1|1|0|0|3|0|13|1|SELECT DISTINCT(parent) FROM `tabUser Email` WHERE awaiting_password = 1
29|1|1|0|0|3|0|55|1|select name from `tabUser` where enabled=1
30|1|1|0|0|2|0|75|1|select `item_name`, `description` from `tabItem` where `name` = '_Test Item Home Desktop 100' order by modified desc
31|1|4|0|0|9|0|29|3|select warehouse, name, account_currency from tabAccount where account_type = 'Stock' and (warehouse is not null and warehouse != '') and is_group=0
32|1|2|0|0|5|0|14|2|select `name` from `tabSalary Structure Employee` where `employee` = 'EMP-0002' and `parent` = 'Monthly Salary Structure Test for Salary Slip' order by modified desc
