queryNo|tables|conditions|subqueries|joins|paths|functions|total columns|used columns|query
1|6|17|0|7|27|6|63|20|SELECT account.id AS `id`, account.name AS `name`, account.deleted AS `deleted`, account.website AS `website`, emailAddresses.name AS `emailAddress`, phoneNumbers.name AS `phoneNumber`, account.type AS `type`, account.industry AS `industry`, account.sic_code AS `sicCode`, account.billing_address_street AS `billingAddressStreet`, account.billing_address_city AS `billingAddressCity`, account.billing_address_state AS `billingAddressState`, account.billing_address_country AS `billingAddressCountry`, account.billing_address_postal_code AS `billingAddressPostalCode`, account.shipping_address_street AS `shippingAddressStreet`, account.shipping_address_city AS `shippingAddressCity`, account.shipping_address_state AS `shippingAddressState`, account.shipping_address_country AS `shippingAddressCountry`, account.shipping_address_postal_code AS `shippingAddressPostalCode`, account.description AS `description`, account.created_at AS `createdAt`, account.modified_at AS `modifiedAt`, account.campaign_id AS `campaignId`, account.created_by_id AS `createdById`, TRIM(CONCAT(createdBy.first_name, ' ', createdBy.last_name)) AS `createdByName`, account.modified_by_id AS `modifiedById`, TRIM(CONCAT(modifiedBy.first_name, ' ', modifiedBy.last_name)) AS `modifiedByName`, account.assigned_user_id AS `assignedUserId`, TRIM(CONCAT(assignedUser.first_name, ' ', assignedUser.last_name)) AS `assignedUserName` FROM `account` LEFT JOIN `user` AS `assignedUser` ON account.assigned_user_id = assignedUser.id LEFT JOIN `user` AS `modifiedBy` ON account.modified_by_id = modifiedBy.id LEFT JOIN `user` AS `createdBy` ON account.created_by_id = createdBy.id LEFT JOIN `entity_email_address` AS `emailAddressesMiddle` ON account.id = emailAddressesMiddle.entity_id AND emailAddressesMiddle.deleted = '0' AND emailAddressesMiddle.primary = '1' AND emailAddressesMiddle.entity_type = 'Account' LEFT JOIN `email_address` AS `emailAddresses` ON emailAddresses.id = emailAddressesMiddle.email_address_id AND emailAddresses.deleted = '0' LEFT JOIN `entity_phone_number` AS `phoneNumbersMiddle` ON account.id = phoneNumbersMiddle.entity_id AND phoneNumbersMiddle.deleted = '0' AND phoneNumbersMiddle.primary = '1' AND phoneNumbersMiddle.entity_type = 'Account' LEFT JOIN `phone_number` AS `phoneNumbers` ON phoneNumbers.id = phoneNumbersMiddle.phone_number_id AND phoneNumbers.deleted = '0' WHERE account.id = '53203b942850b' AND account.deleted = '0'
2|4|8|0|5|18|4|59|11|SELECT portal.id AS `id`, portal.name AS `name`, portal.deleted AS `deleted`, portal.custom_id AS `customId`, portal.is_active AS `isActive`, portal.tab_list AS `tabList`, portal.quick_create_list AS `quickCreateList`, portal.theme AS `theme`, portal.language AS `language`, portal.time_zone AS `timeZone`, portal.date_format AS `dateFormat`, portal.time_format AS `timeFormat`, portal.week_start AS `weekStart`, portal.default_currency AS `defaultCurrency`, portal.dashboard_layout AS `dashboardLayout`, portal.dashlets_options AS `dashletsOptions`, portal.custom_url AS `customUrl`, portal.modified_at AS `modifiedAt`, portal.created_at AS `createdAt`, portal.modified_by_id AS `modifiedById`, TRIM(CONCAT(modifiedBy.first_name, ' ', modifiedBy.last_name)) AS `modifiedByName`, portal.created_by_id AS `createdById`, TRIM(CONCAT(createdBy.first_name, ' ', createdBy.last_name)) AS `createdByName`, logo.name AS `logoName`, portal.logo_id AS `logoId`, companyLogo.name AS `companyLogoName`, portal.company_logo_id AS `companyLogoId` FROM `portal` LEFT JOIN `user` AS `modifiedBy` ON portal.modified_by_id = modifiedBy.id LEFT JOIN `user` AS `createdBy` ON portal.created_by_id = createdBy.id LEFT JOIN `attachment` AS `logo` ON portal.logo_id = logo.id LEFT JOIN `attachment` AS `companyLogo` ON portal.company_logo_id = companyLogo.id JOIN `portal_user` ON portal.id = portal_user.portal_id AND portal_user.user_id = '589dd906b0d0d1105' AND portal_user.deleted = '0' WHERE portal.deleted = '0'
3|6|17|0|7|28|6|63|21|SELECT account.id AS `id`, account.name AS `name`, account.deleted AS `deleted`, account.website AS `website`, emailAddresses.name AS `emailAddress`, phoneNumbers.name AS `phoneNumber`, account.type AS `type`, account.industry AS `industry`, account.sic_code AS `sicCode`, account.billing_address_street AS `billingAddressStreet`, account.billing_address_city AS `billingAddressCity`, account.billing_address_state AS `billingAddressState`, account.billing_address_country AS `billingAddressCountry`, account.billing_address_postal_code AS `billingAddressPostalCode`, account.shipping_address_street AS `shippingAddressStreet`, account.shipping_address_city AS `shippingAddressCity`, account.shipping_address_state AS `shippingAddressState`, account.shipping_address_country AS `shippingAddressCountry`, account.shipping_address_postal_code AS `shippingAddressPostalCode`, account.description AS `description`, account.created_at AS `createdAt`, account.modified_at AS `modifiedAt`, account.campaign_id AS `campaignId`, account.created_by_id AS `createdById`, TRIM(CONCAT(createdBy.first_name, ' ', createdBy.last_name)) AS `createdByName`, account.modified_by_id AS `modifiedById`, TRIM(CONCAT(modifiedBy.first_name, ' ', modifiedBy.last_name)) AS `modifiedByName`, account.assigned_user_id AS `assignedUserId`, TRIM(CONCAT(assignedUser.first_name, ' ', assignedUser.last_name)) AS `assignedUserName` FROM `account` LEFT JOIN `user` AS `assignedUser` ON account.assigned_user_id = assignedUser.id LEFT JOIN `user` AS `modifiedBy` ON account.modified_by_id = modifiedBy.id LEFT JOIN `user` AS `createdBy` ON account.created_by_id = createdBy.id LEFT JOIN `entity_email_address` AS `emailAddressesMiddle` ON account.id = emailAddressesMiddle.entity_id AND emailAddressesMiddle.deleted = '0' AND emailAddressesMiddle.primary = '1' AND emailAddressesMiddle.entity_type = 'Account' LEFT JOIN `email_address` AS `emailAddresses` ON emailAddresses.id = emailAddressesMiddle.email_address_id AND emailAddresses.deleted = '0' LEFT JOIN `entity_phone_number` AS `phoneNumbersMiddle` ON account.id = phoneNumbersMiddle.entity_id AND phoneNumbersMiddle.deleted = '0' AND phoneNumbersMiddle.primary = '1' AND phoneNumbersMiddle.entity_type = 'Account' LEFT JOIN `phone_number` AS `phoneNumbers` ON phoneNumbers.id = phoneNumbersMiddle.phone_number_id AND phoneNumbers.deleted = '0' WHERE account.name = 'Test Account' AND account.deleted = '0'
4|1|2|0|0|5|0|4|2|SELECT phone_number.id AS `id`, phone_number.name AS `name`, phone_number.deleted AS `deleted`, phone_number.type AS `type` FROM `phone_number` WHERE phone_number.name = '111' AND phone_number.deleted = '0' LIMIT 0, 1
5|1|2|0|0|5|1|8|2|SELECT COUNT(role.id) AS AggregateValue FROM `role` WHERE role.id = '589dd9e072d8768c3' AND role.deleted = '0'
6|2|4|0|1|6|0|10|5|SELECT team.id AS `id`, team.name AS `name`, team.deleted AS `deleted`, team.position_list AS `positionList`, team.created_at AS `createdAt` FROM `team` JOIN `team_user` ON team.id = team_user.team_id AND team_user.user_id = '589dd8be2c72d6256' AND team_user.deleted = '0' WHERE team.deleted = '0'
7|1|2|0|0|5|1|4|2|SELECT COUNT(phone_number.id) AS AggregateValue FROM `phone_number` WHERE phone_number.id = '589dd55bbbd9af02f' AND phone_number.deleted = '0'
8|2|4|0|1|6|0|10|5|SELECT team.id AS `id`, team.name AS `name`, team.deleted AS `deleted`, team.position_list AS `positionList`, team.created_at AS `createdAt`, `team_user`.role AS `userRole` FROM `team` JOIN `team_user` ON team.id = team_user.team_id AND team_user.user_id = '589dd906b0d0d1105' AND team_user.deleted = '0' WHERE team.deleted = '0'
9|1|3|0|0|7|0|6|3|SELECT * FROM `entity_email_address` WHERE entity_id = '589dd997d90450eda' AND email_address_id = '589dd997dbd93765e' AND entity_type = 'User'
10|2|4|0|1|6|0|9|5|SELECT portal_role.id AS `id`, portal_role.name AS `name`, portal_role.deleted AS `deleted`, portal_role.data AS `data`, portal_role.field_data AS `fieldData` FROM `portal_role` JOIN `portal_portal_role` ON portal_role.id = portal_portal_role.portal_role_id AND portal_portal_role.portal_id = 'testPortalId' AND portal_portal_role.deleted = '0' WHERE portal_role.deleted = '0'
